MDate,TradeDate,TraderId,IAccountId,CommodityId,BS,Qty,Price
2023-02-22 11:08:10,2023-02-22,K44,LHDU,00632R,S,5000,5.41
2023-02-22 11:08:17,2023-02-22,K44,LHDU,00632R,S,20000,5.41
2023-02-22 11:08:18,2023-02-22,K44,LHDU,00632R,S,5000,5.41
2023-02-22 11:08:23,2023-02-22,K44,LHDU,00632R,S,50000,5.41
2023-02-22 11:08:27,2023-02-22,K44,LHDU,00632R,S,5000,5.41
2023-02-22 11:10:53,2023-02-22,K44,LHDU,00632R,S,7000,5.41
2023-02-22 11:10:56,2023-02-22,K44,LHDU,00632R,S,1000,5.41
2023-02-22 11:10:59,2023-02-22,K44,LHDU,00632R,S,20000,5.41
2023-02-22 11:11:04,2023-02-22,K44,LHDU,00632R,S,10000,5.41
2023-02-22 11:11:06,2023-02-22,K44,LHDU,00632R,S,5000,5.41
2023-02-22 11:11:41,2023-02-22,K44,LHDU,00632R,S,5000,5.41
2023-02-22 11:11:58,2023-02-22,K44,LHDU,00632R,S,20000,5.41
2023-02-22 11:12:03,2023-02-22,K44,LHDU,00632R,S,10000,5.41
2023-02-22 11:12:18,2023-02-22,K44,LHDU,00632R,S,2000,5.41
2023-02-22 11:12:25,2023-02-22,K44,LHDU,00632R,S,8000,5.41
2023-02-22 11:12:49,2023-02-22,K44,LHDU,00632R,S,10000,5.41
2023-02-22 11:12:51,2023-02-22,K44,LHDU,00632R,S,1000,5.41
2023-02-22 11:12:53,2023-02-22,K44,LHDU,00632R,S,5000,5.41
2023-02-22 11:12:55,2023-02-22,K44,LHDU,00632R,S,300000,5.41
2023-02-22 11:13:13,2023-02-22,K44,LHDU,00632R,S,1000,5.41
2023-02-22 11:13:32,2023-02-22,K44,LHDU,00632R,S,50000,5.41
2023-02-22 11:13:37,2023-02-22,K44,LHDU,00632R,S,1000,5.41
2023-02-22 11:14:20,2023-02-22,K44,LHDU,00632R,S,10000,5.41
2023-02-22 11:14:40,2023-02-22,K44,LHDU,00632R,S,5000,5.41
2023-02-22 11:14:58,2023-02-22,K44,LHDU,00632R,S,5000,5.41
2023-02-22 11:15:10,2023-02-22,K44,LHDU,00632R,S,5000,5.41
2023-02-22 11:15:20,2023-02-22,K44,LHDU,00632R,S,5000,5.41
2023-02-22 11:16:27,2023-02-22,K44,LHDU,00632R,S,5000,5.41
2023-02-22 11:16:56,2023-02-22,K44,LHDU,00632R,S,5000,5.41
2023-02-22 11:17:42,2023-02-22,K44,LHDU,00632R,S,2000,5.41
2023-02-22 11:17:42,2023-02-22,K44,LHDU,00632R,S,40000,5.41
2023-02-22 11:17:45,2023-02-22,K44,LHDU,00632R,S,3000,5.41
2023-02-22 11:17:49,2023-02-22,K44,LHDU,00632R,S,50000,5.41
2023-02-22 11:18:14,2023-02-22,K44,LHDU,00632R,S,5000,5.41
2023-02-22 11:18:18,2023-02-22,K44,LHDU,00632R,S,1000,5.41
2023-02-22 11:18:29,2023-02-22,K44,LHDU,00632R,S,2000,5.41
2023-02-22 11:20:01,2023-02-22,K44,LHDU,00632R,S,5000,5.41
2023-02-22 11:20:02,2023-02-22,K44,LHDU,00632R,S,20000,5.41
2023-02-22 11:20:09,2023-02-22,K44,LHDU,00632R,S,10000,5.41
2023-02-22 11:20:14,2023-02-22,K44,LHDU,00632R,S,3000,5.41
2023-02-22 11:20:17,2023-02-22,K44,LHDU,00632R,S,10000,5.41
2023-02-22 11:21:48,2023-02-22,K44,LHDU,00632R,S,5000,5.41
2023-02-22 11:23:01,2023-02-22,K44,LHDU,00632R,S,10000,5.41
2023-02-22 11:23:19,2023-02-22,K44,LHDU,00632R,S,5000,5.41
2023-02-22 11:23:26,2023-02-22,K44,LHDU,00632R,S,5000,5.41
2023-02-22 11:23:35,2023-02-22,K44,LHDU,00632R,S,5000,5.41
2023-02-22 11:23:47,2023-02-22,K44,LHDU,00632R,S,10000,5.41
2023-02-22 11:24:43,2023-02-22,K44,LHDU,00632R,S,5000,5.41
2023-02-22 11:24:54,2023-02-22,K44,LHDU,00632R,S,50000,5.41
2023-02-22 11:24:56,2023-02-22,K44,LHDU,00632R,S,6000,5.41
2023-02-22 11:25:21,2023-02-22,K44,LHDU,00632R,S,5000,5.41
2023-02-22 11:25:36,2023-02-22,K44,LHDU,00632R,S,50000,5.41
2023-02-22 11:27:08,2023-02-22,K44,LHDU,00632R,S,5000,5.41
2023-02-22 11:27:11,2023-02-22,K44,LHDU,00632R,S,1000,5.41
2023-02-22 11:27:21,2023-02-22,K44,LHDU,00632R,S,25000,5.41
2023-02-22 11:28:48,2023-02-22,K44,LHDU,00632R,S,5000,5.41
2023-02-22 11:28:50,2023-02-22,K44,LHDU,00632R,S,10000,5.41
2023-02-22 11:28:56,2023-02-22,K44,LHDU,00632R,S,5000,5.41
2023-02-22 11:30:44,2023-02-22,K44,LHDU,00632R,S,5000,5.41
2023-02-22 11:30:46,2023-02-22,K44,LHDU,00632R,S,2000,5.41
2023-02-22 11:31:23,2023-02-22,K44,LHDU,00632R,S,10000,5.41
2023-02-22 11:32:15,2023-02-22,K44,LHDU,00632R,S,10000,5.41
2023-02-22 11:32:31,2023-02-22,K44,LHDU,00632R,S,5000,5.41
2023-02-22 11:33:41,2023-02-22,K44,LHDU,00632R,S,5000,5.41
2023-02-22 11:34:08,2023-02-22,K44,LHDU,00632R,S,2000,5.41
2023-02-22 11:34:11,2023-02-22,K44,LHDU,00632R,S,5000,5.41
2023-02-22 11:34:18,2023-02-22,K44,LHDU,00632R,S,5000,5.41
2023-02-22 11:34:30,2023-02-22,K44,LHDU,00632R,S,3000,5.41
2023-02-22 11:34:59,2023-02-22,K44,LHDU,00632R,S,1000,5.41
2023-02-22 11:35:01,2023-02-22,K44,LHDU,00632R,S,20000,5.41
2023-02-22 11:35:27,2023-02-22,K44,LHDU,00632R,S,20000,5.41
2023-02-22 11:36:05,2023-02-22,K44,LHDU,00632R,S,5000,5.41
2023-02-22 11:36:54,2023-02-22,K44,LHDU,00632R,S,44000,5.41
2023-02-22 11:56:49,2023-02-22,K44,LHDU,00632R,S,17000,5.41
2023-02-22 11:57:17,2023-02-22,K44,LHDU,00632R,S,1000,5.41
2023-02-22 11:57:30,2023-02-22,K44,LHDU,00632R,S,5000,5.41
2023-02-22 11:59:17,2023-02-22,K44,LHDU,00632R,S,5000,5.41
2023-02-22 11:59:25,2023-02-22,K44,LHDU,00632R,S,5000,5.4
2023-02-22 11:59:25,2023-02-22,K44,LHDU,00632R,S,69000,5.4
2023-02-22 11:59:25,2023-02-22,K44,LHDU,00632R,S,232000,5.4
2023-02-22 11:59:25,2023-02-22,K44,LHDU,00632R,S,30000,5.4
2023-02-22 11:59:25,2023-02-22,K44,LHDU,00632R,S,1000,5.4
2023-02-22 11:59:25,2023-02-22,K44,LHDU,00632R,S,50000,5.4
2023-02-22 11:59:25,2023-02-22,K44,LHDU,00632R,S,10000,5.4
2023-02-22 11:59:25,2023-02-22,K44,LHDU,00632R,S,10000,5.4
2023-02-22 11:59:25,2023-02-22,K44,LHDU,00632R,S,1000,5.4
2023-02-22 11:59:25,2023-02-22,K44,LHDU,00632R,S,30000,5.4
2023-02-22 11:59:25,2023-02-22,K44,LHDU,00632R,S,30000,5.4
2023-02-22 11:59:25,2023-02-22,K44,LHDU,00632R,S,30000,5.4
2023-02-22 11:59:31,2023-02-22,K44,LHDU,00632R,S,31000,5.4
2023-02-22 11:59:31,2023-02-22,K44,LHDU,00632R,S,1000,5.4
2023-02-22 11:59:31,2023-02-22,K44,LHDU,00632R,S,1000,5.4
2023-02-22 11:59:31,2023-02-22,K44,LHDU,00632R,S,30000,5.4
2023-02-22 11:59:31,2023-02-22,K44,LHDU,00632R,S,2000,5.4
2023-02-22 11:59:31,2023-02-22,K44,LHDU,00632R,S,1000,5.4
2023-02-22 11:59:31,2023-02-22,K44,LHDU,00632R,S,30000,5.4
2023-02-22 11:59:31,2023-02-22,K44,LHDU,00632R,S,4000,5.4
2023-02-22 11:59:31,2023-02-22,K44,LHDU,00632R,S,80000,5.4
2023-02-22 11:59:31,2023-02-22,K44,LHDU,00632R,S,50000,5.4
2023-02-22 11:59:31,2023-02-22,K44,LHDU,00632R,S,2000,5.4
2023-02-22 11:59:31,2023-02-22,K44,LHDU,00632R,S,25000,5.4
2023-02-22 11:59:31,2023-02-22,K44,LHDU,00632R,S,5000,5.4
2023-02-22 11:59:31,2023-02-22,K44,LHDU,00632R,S,100000,5.4
2023-02-22 11:59:31,2023-02-22,K44,LHDU,00632R,S,10000,5.4
2023-02-22 11:59:31,2023-02-22,K44,LHDU,00632R,S,2000,5.4
2023-02-22 11:59:31,2023-02-22,K44,LHDU,00632R,S,2000,5.4
2023-02-22 11:59:31,2023-02-22,K44,LHDU,00632R,S,10000,5.4
2023-02-22 11:59:31,2023-02-22,K44,LHDU,00632R,S,1000,5.4
2023-02-22 11:59:31,2023-02-22,K44,LHDU,00632R,S,6000,5.4
2023-02-22 11:59:31,2023-02-22,K44,LHDU,00632R,S,5000,5.4
2023-02-22 11:59:31,2023-02-22,K44,LHDU,00632R,S,6000,5.4
2023-02-22 11:59:31,2023-02-22,K44,LHDU,00632R,S,4000,5.4
2023-02-22 11:59:31,2023-02-22,K44,LHDU,00632R,S,10000,5.4
2023-02-22 11:59:31,2023-02-22,K44,LHDU,00632R,S,20000,5.4
2023-02-22 11:59:31,2023-02-22,K44,LHDU,00632R,S,2000,5.4
2023-02-22 11:59:31,2023-02-22,K44,LHDU,00632R,S,1000,5.4
2023-02-22 11:59:31,2023-02-22,K44,LHDU,00632R,S,8000,5.4
2023-02-22 11:59:31,2023-02-22,K44,LHDU,00632R,S,49000,5.4
2023-02-22 11:59:35,2023-02-22,K44,LHDU,00632R,S,201000,5.4
2023-02-22 11:59:35,2023-02-22,K44,LHDU,00632R,S,2000,5.4
2023-02-22 11:59:35,2023-02-22,K44,LHDU,00632R,S,20000,5.4
2023-02-22 11:59:35,2023-02-22,K44,LHDU,00632R,S,10000,5.4
2023-02-22 11:59:35,2023-02-22,K44,LHDU,00632R,S,40000,5.4
2023-02-22 11:59:35,2023-02-22,K44,LHDU,00632R,S,3000,5.4
2023-02-22 11:59:35,2023-02-22,K44,LHDU,00632R,S,2000,5.4
2023-02-22 11:59:35,2023-02-22,K44,LHDU,00632R,S,15000,5.4
2023-02-22 11:59:35,2023-02-22,K44,LHDU,00632R,S,2000,5.4
2023-02-22 11:59:35,2023-02-22,K44,LHDU,00632R,S,1000,5.4
2023-02-22 11:59:35,2023-02-22,K44,LHDU,00632R,S,10000,5.4
2023-02-22 11:59:35,2023-02-22,K44,LHDU,00632R,S,10000,5.4
2023-02-22 11:59:35,2023-02-22,K44,LHDU,00632R,S,2000,5.4
2023-02-22 11:59:35,2023-02-22,K44,LHDU,00632R,S,5000,5.4
2023-02-22 11:59:35,2023-02-22,K44,LHDU,00632R,S,20000,5.4
2023-02-22 11:59:35,2023-02-22,K44,LHDU,00632R,S,6000,5.4
2023-02-22 11:59:35,2023-02-22,K44,LHDU,00632R,S,100000,5.4
2023-02-22 11:59:35,2023-02-22,K44,LHDU,00632R,S,5000,5.4
2023-02-22 11:59:35,2023-02-22,K44,LHDU,00632R,S,2000,5.4
2023-02-22 11:59:35,2023-02-22,K44,LHDU,00632R,S,2000,5.4
2023-02-22 11:59:35,2023-02-22,K44,LHDU,00632R,S,30000,5.4
2023-02-22 11:59:35,2023-02-22,K44,LHDU,00632R,S,1000,5.4
2023-02-22 11:59:35,2023-02-22,K44,LHDU,00632R,S,9000,5.4
2023-02-22 11:59:41,2023-02-22,K44,LHDU,00632R,S,28000,5.4
2023-02-22 11:59:41,2023-02-22,K44,LHDU,00632R,S,10000,5.4
